model,nodes,edges,elements,polygons,bonds,rigids,time
b3.s00000165__s00002002.tpn_0.json,106,133,239,30,0,1,6363763
b3.s00000167__s00002019.tpn_0.json,100,132,232,26,0,1,5828195
b3.s00000169__s00002052.tpn_0.json,200,249,449,56,0,1,16496785
b3.s00000175__s00002042.tpn_0.json,51,61,112,13,0,1,2610269
b3.s00000177__s00002131.tpn_0.json,132,158,290,35,0,1,8840120
b3.s00000185__s00002121.tpn_0.json,29,34,63,7,0,1,1777893
b3.s00000187__s00002187.tpn_0.json,63,76,139,16,0,1,8774190
b3.s00000189__s00002202.tpn_0.json,33,36,69,8,0,1,1251438
b3.s00000191__s00002237.tpn_0.json,73,82,155,19,0,1,4892695
b3.s00000191__s00002237.tpn_1.json,150,179,329,41,0,1,10150428
b3.s00000193__s00002313.tpn_0.json,160,201,361,46,0,1,11867317
b3.s00000199__s00002398.tpn_0.json,108,137,245,31,0,1,6829379
b3.s00000207__s00001809.tpn_0.json,125,149,274,33,0,1,8336901
b3.s00000209__s00001792.tpn_0.json,90,102,192,24,0,1,5060599
b3.s00000211__s00001787.tpn_0.json,48,52,100,12,0,1,2225116
b3.s00000213__s00002690.tpn_0.json,50,57,107,13,0,1,2533173
b3.s00000215__s00002639.tpn_0.json,65,82,147,17,0,1,4287502
b3.s00000217__s00002570.tpn_0.json,93,108,201,25,0,1,6412205
b3.s00000219__s00002563.tpn_0.json,34,37,71,7,0,1,1732489
b3.s00000221__s00002545.tpn_0.json,93,105,198,26,0,1,6003406
b3.s00000223__s00002622.tpn_0.json,48,55,103,12,0,1,3132537
b3.s00000229__s00002611.tpn_0.json,32,35,67,8,0,1,2105818
b3.s00000235__s00002621.tpn_0.json,32,35,67,8,0,1,1370325
b3.s00000237__s00002663.tpn_0.json,33,36,69,8,0,1,1354890
b3.s00000237__s00002663.tpn_1.json,30,33,63,7,0,1,1626984
b3.s00000237__s00002663.tpn_2.json,63,72,135,17,0,1,3525653
b3.s00000241__s00002652.tpn_0.json,32,35,67,8,0,1,1944401
b3.s00000243__s00004463.tpn_0.json,81,94,175,21,0,1,5419971
b3.s00000245__s00005905.tpn_0.json,77,101,178,20,0,1,4281837
b3.s00000247__s00005917.tpn_0.json,100,126,226,25,0,1,7631212
b3.s00000249__s00005920.tpn_0.json,44,51,95,12,0,1,2514043
b3.s00000251__s00005947.tpn_0.json,105,148,253,29,0,1,7888364
b3.s00000253__s00005974.tpn_0.json,123,149,272,32,0,1,7963736
b3.s00000259__s00002348.tpn_0.json,110,130,240,30,0,1,7721034
b3.s00000265__s00003747.tpn_0.json,71,84,155,19,0,1,4765351
b3.s00000267__s00003764.tpn_0.json,77,100,177,22,0,1,5387621
b3.s00000267__s00003764.tpn_1.json,46,51,97,12,0,1,2804036
b3.s00000271__s00002710.tpn_0.json,208,256,464,57,0,1,16565917
b3.s00000275__s00002417.tpn_0.json,26,28,54,6,0,1,1294871
b3.s00000277__s00002499.tpn_0.json,268,313,581,72,0,1,21809692
b3.s00000285__s00002754.tpn_0.json,217,269,486,60,0,1,15221947
b3.s00000289__s00002759.tpn_0.json,286,361,647,79,0,1,31493027
b3.s00000293__s00002789.tpn_0.json,101,115,216,27,0,1,5331544
b3.s00000297__s00002867.tpn_0.json,52,66,118,14,0,1,2380048
b3.s00000299__s00002802.tpn_0.json,31,36,67,8,0,1,1087393
b3.s00000303__s00002838.tpn_0.json,97,120,217,26,0,1,5404207
b3.s00000309__s00002823.tpn_0.json,37,48,85,9,0,1,1374677
b3.s00000309__s00002823.tpn_1.json,41,45,86,10,0,1,4946966
b3.s00000311__s00002845.tpn_0.json,51,56,107,13,0,1,1907536
b3.s00000313__s00003131.tpn_0.json,170,199,369,45,0,1,12894035
b3.s00000315__s00003116.tpn_0.json,37,40,77,9,0,1,5210029
b3.s00000329__s00002947.tpn_0.json,178,227,405,48,0,1,11100460
b3.s00000329__s00002947.tpn_1.json,41,45,86,10,0,1,2569956
b3.s00000331__s00002882.tpn_0.json,236,296,532,66,0,1,23436266
b3.s00000335__s00002925.tpn_0.json,26,28,54,6,0,1,944203
b3.s00000335__s00002925.tpn_1.json,29,34,63,7,0,1,972282
b3.s00000341__s00003004.tpn_0.json,135,170,305,36,0,1,7187929
b3.s00000341__s00003004.tpn_1.json,41,45,86,10,0,1,2137265
b3.s00000343__s00003019.tpn_0.json,37,40,77,9,0,1,1585768
b3.s00000343__s00003019.tpn_1.json,252,323,575,66,0,1,26202534
b3.s00000345__s00003029.tpn_0.json,75,90,165,20,0,1,3450528
b3.s00000347__s00003039.tpn_0.json,53,64,117,14,0,1,2558215
b3.s00000349__s00003046.tpn_0.json,53,64,117,14,0,1,3482138
b3.s00000351__s00003073.tpn_0.json,116,130,246,32,0,1,7190803
b3.s00000355__s00003200.tpn_0.json,195,234,429,52,0,1,16198992
b3.s00000357__s00003150.tpn_0.json,35,38,73,9,0,1,2142930
b3.s00000357__s00003150.tpn_1.json,37,40,77,9,0,1,2132585
b3.s00000359__s00003133.tpn_0.json,26,28,54,6,0,1,871868
b3.s00000363__s00003167.tpn_0.json,26,28,54,6,0,1,1261126
b3.s00000367__s00003188.tpn_0.json,46,52,98,12,0,1,1624521
b3.s00000373__s00003408.tpn_0.json,245,355,600,64,0,1,18411793
b3.s00000373__s00003408.tpn_1.json,41,45,86,10,0,1,1512695
b3.s00000375__s00003221.tpn_0.json,37,48,85,9,0,1,1420820
b3.s00000375__s00003221.tpn_1.json,48,52,100,12,0,1,2182997
b3.s00000377__s00003371.tpn_0.json,26,28,54,6,0,1,915302
b3.s00000383__s00003316.tpn_0.json,54,60,114,14,0,1,3906701
b3.s00000387__s00003400.tpn_0.json,74,87,161,19,0,1,3217104
b3.s00000389__s00003421.tpn_0.json,41,45,86,10,0,1,2559693
b3.s00000389__s00003421.tpn_1.json,213,286,499,57,0,1,18017198
b3.s00000393__s00003428.tpn_0.json,238,302,540,63,0,1,18110387
b3.s00000397__s00003493.tpn_0.json,69,85,154,18,0,1,3311196
b3.s00000397__s00003493.tpn_1.json,37,40,77,9,0,1,2467653
b3.s00000399__s00003457.tpn_0.json,61,69,130,17,0,1,2948868
b3.s00000401__s00003486.tpn_0.json,29,34,63,7,0,1,1027785
b3.s00000405__s00005767.tpn_0.json,68,75,143,18,0,1,4859935
b3.s00000405__s00005767.tpn_1.json,25,27,52,6,0,1,1514173
b3.s00000407__s00005809.tpn_0.json,28,31,59,7,0,1,1767219
b3.s00000415__s00005865.tpn_0.json,26,29,55,6,0,1,1551941
b3.s00000423__s00003205.tpn_0.json,47,56,103,13,0,1,3004371
b3.s00000427__s00004153.tpn_0.json,26,29,55,6,0,1,1501775
b3.s00000433__s00004148.tpn_0.json,24,27,51,5,0,1,1582566
b3.s00000435__s00006791.tpn_0.json,42,48,90,10,0,1,2700748
b3.s00000435__s00006791.tpn_1.json,26,28,54,6,0,1,1648085
b3.s00000437__s00006806.tpn_0.json,25,27,52,6,0,1,1538722
b3.s00000439__s00006822.tpn_0.json,40,44,84,10,0,1,2249748
b3.s00000455__s00003511.tpn_0.json,168,203,371,48,0,1,17556345
b3.s00000457__s00003506.tpn_0.json,59,74,133,16,0,1,4587348
b3.s00000459__s00003550.tpn_0.json,97,123,220,25,0,1,8045430
b3.s00000463__s00003563.tpn_0.json,40,44,84,10,0,1,2719304
b3.s00000463__s00003563.tpn_1.json,46,61,107,12,0,1,3668515
b3.s00000465__s00003583.tpn_0.json,68,84,152,20,0,1,5745516
b3.s00000465__s00003583.tpn_1.json,40,44,84,10,0,1,2761752
b3.s00000469__s00003601.tpn_0.json,116,184,300,33,0,1,12347465
b3.s00000471__s00003634.tpn_0.json,113,125,238,30,0,1,16352938
b3.s00000477__s00003667.tpn_0.json,40,44,84,10,0,1,2570038
b3.s00000479__s00003696.tpn_0.json,49,56,105,12,0,1,3524668
b3.s00000483__s00003713.tpn_0.json,37,40,77,9,0,1,2546884
b3.s00000489__s00004071.tpn_0.json,83,100,183,22,0,1,7033901
b3.s00000493__s00004275.tpn_0.json,47,56,103,12,0,1,3293708
b3.s00000493__s00004275.tpn_1.json,49,56,105,12,0,1,3512270
b3.s00000495__s00004167.tpn_0.json,34,42,76,8,0,1,2100646
b3.s00000499__s00004247.tpn_0.json,99,120,219,26,0,1,8772794
b3.s00000501__s00004188.tpn_0.json,44,48,92,11,0,1,2830720
b3.s00000505__s00004223.tpn_0.json,92,106,198,24,0,1,7311004
b3.s00000511__s00004317.tpn_0.json,121,178,299,31,0,1,14173143
b3.s00000515__s00004381.tpn_0.json,69,91,160,19,0,1,4582668
b3.s00000517__s00004368.tpn_0.json,34,42,76,8,0,1,2154260
b3.s00000521__s00004892.tpn_0.json,97,161,258,25,0,1,10199526
b3.s00000527__s00004933.tpn_0.json,77,114,191,20,0,1,6110306
b3.s00000529__s00004946.tpn_0.json,26,28,54,6,0,1,1531415
b3.s00000529__s00004946.tpn_1.json,106,156,262,27,0,1,11450226
b3.s00000531__s00004958.tpn_0.json,73,88,161,20,0,1,5700358
b3.s00000533__s00004974.tpn_0.json,26,29,55,6,0,1,1620827
b3.s00000533__s00004974.tpn_1.json,26,28,54,6,0,1,1544551
b3.s00000535__s00005013.tpn_0.json,187,220,407,52,0,1,18782002
b3.s00000535__s00005013.tpn_1.json,40,44,84,10,0,1,2303198
b3.s00000539__s00005008.tpn_0.json,43,48,91,11,0,1,2783838
b3.s00000543__s00005062.tpn_0.json,153,200,353,40,0,1,13186902
b3.s00000547__s00003797.tpn_0.json,100,122,222,27,0,1,9198671
b3.s00000551__s00004288.tpn_0.json,42,49,91,10,0,1,2941069
b3.s00000555__s00006385.tpn_0.json,34,42,76,8,0,1,2268550
b3.s00000559__s00006401.tpn_0.json,62,74,136,16,0,1,4232492
b3.s00000561__s00006418.tpn_0.json,79,96,175,20,0,1,5954882
b3.s00000565__s00003960.tpn_0.json,26,28,54,6,0,1,1578214
b3.s00000565__s00003960.tpn_1.json,28,30,58,6,0,1,1823625
b3.s00000565__s00003960.tpn_2.json,308,407,715,84,0,1,42213261
b3.s00000567__s00003859.tpn_0.json,40,44,84,10,0,1,1453005
b3.s00000575__s00003884.tpn_0.json,100,113,213,28,0,1,7048598
b3.s00000579__s00003904.tpn_0.json,24,27,51,5,0,1,1482480
b3.s00000579__s00003904.tpn_1.json,121,139,260,33,0,1,9946151
b3.s00000585__s00004536.tpn_0.json,35,40,75,9,0,1,2281030
b3.s00000589__s00000590.tpn_0.json,72,101,173,19,0,1,7269541
b3.s00000591__s00004601.tpn_0.json,280,359,639,78,0,1,37866314
b3.s00000601__s00004698.tpn_0.json,25,27,52,6,0,1,1643487
b3.s00000601__s00004698.tpn_1.json,34,37,71,8,0,1,2254510
b3.s00000601__s00004698.tpn_2.json,157,194,351,44,0,1,14058853
b3.s00000609__s00004761.tpn_0.json,100,115,215,27,0,1,6903355
b3.s00000609__s00004761.tpn_1.json,26,28,54,6,0,1,1595046
b3.s00000611__s00004786.tpn_0.json,147,179,326,41,0,1,11770023
b3.s00000613__s00004794.tpn_0.json,105,139,244,29,0,1,7448365
b3.s00000613__s00004794.tpn_1.json,41,45,86,10,0,1,2632684
b3.s00000615__s00004851.tpn_0.json,25,27,52,6,0,1,904382
b3.s00000621__s00004875.tpn_0.json,72,83,155,19,0,1,5496328
b3.s00000621__s00004875.tpn_1.json,26,28,54,6,0,1,1620005
b3.s00000625__s00004121.tpn_0.json,107,132,239,29,0,1,7908643
b3.s00000629__s00007077.tpn_0.json,61,72,133,16,0,1,5893550
b3.s00000631__s00007081.tpn_0.json,81,92,173,22,0,1,6185678
b3.s00000633__s00007100.tpn_0.json,68,77,145,17,0,1,5145906
b3.s00000639__s00004334.tpn_0.json,33,38,71,8,0,1,2056720
b3.s00000641__s00005690.tpn_0.json,56,67,123,16,0,1,4154164
b3.s00000643__s00005750.tpn_0.json,26,28,54,6,0,1,1669350
b3.s00000649__s00007246.tpn_0.json,32,35,67,8,0,1,2091040
b3.s00000649__s00007246.tpn_1.json,169,235,404,49,0,1,19846735
b3.s00000651__s00007204.tpn_0.json,50,55,105,13,0,1,3193376
b3.s00000653__s00007159.tpn_0.json,55,60,115,14,0,1,3658417
b3.s00000657__s00007182.tpn_0.json,65,72,137,17,0,1,4542026
b3.s00000661__s00007121.tpn_0.json,62,75,137,18,0,1,5103047
b3.s00000675__s00007227.tpn_0.json,28,31,59,7,0,1,1281078
b3.s00000675__s00007227.tpn_1.json,30,33,63,7,0,1,1811638
b3.s00000679__s00007333.tpn_0.json,112,129,241,30,0,1,10377201
b3.s00000685__s00007369.tpn_0.json,83,92,175,22,0,1,6533309
b3.s00000689__s00007392.tpn_0.json,79,88,167,21,0,1,6433388
b3.s00000693__s00007414.tpn_0.json,46,53,99,12,0,1,3696103
b3.s00000697__s00007417.tpn_0.json,54,67,121,14,0,1,3783216
b3.s00000699__s00007438.tpn_0.json,90,99,189,24,0,1,7261906
b3.s00000705__s00005113.tpn_0.json,110,141,251,29,0,1,9687686
b3.s00000715__s00005161.tpn_0.json,84,101,185,21,0,1,6584707
b3.s00000717__s00005121.tpn_0.json,53,62,115,14,0,1,3774595
b3.s00000719__s00005139.tpn_0.json,29,34,63,7,0,1,1835448
b3.s00000723__s00005165.tpn_0.json,105,120,225,27,0,1,9298182
b3.s00000725__s00005325.tpn_0.json,192,269,461,52,0,1,23179197
b3.s00000727__s00005175.tpn_0.json,95,107,202,25,0,1,13116292
b3.s00000729__s00005191.tpn_0.json,85,98,183,22,0,1,7109930
b3.s00000731__s00005668.tpn_0.json,152,188,340,41,0,1,16906405
b3.s00000739__s00005638.tpn_0.json,168,198,366,46,0,1,15750618
b3.s00000741__s00005271.tpn_0.json,96,107,203,26,0,1,7211493
b3.s00000743__s00005239.tpn_0.json,71,87,158,20,0,1,4824959
b3.s00000743__s00005239.tpn_1.json,44,48,92,11,0,1,1654654
b3.s00000745__s00005217.tpn_0.json,45,50,95,11,0,1,3020218
b3.s00000747__s00005617.tpn_0.json,123,144,267,33,0,1,10528930
b3.s00000749__s00005225.tpn_0.json,41,46,87,10,0,1,2806581
b3.s00000753__s00005540.tpn_0.json,26,28,54,6,0,1,1923054
b3.s00000755__s00005630.tpn_0.json,67,78,145,17,0,1,5340083
b3.s00000757__s00005536.tpn_0.json,41,46,87,11,0,1,2879901
b3.s00000759__s00005441.tpn_0.json,262,354,616,70,0,1,33026659
b3.s00000763__s00005368.tpn_0.json,61,68,129,16,0,1,3937901
b3.s00000765__s00005402.tpn_0.json,121,140,261,31,0,1,16506556
b3.s00000767__s00005389.tpn_0.json,90,103,193,24,0,1,6713611
b3.s00000769__s00005414.tpn_0.json,105,122,227,28,0,1,8872469
b3.s00000771__s00005478.tpn_0.json,28,31,59,7,0,1,1686182
b3.s00000771__s00005478.tpn_1.json,36,39,75,9,0,1,2503780
b3.s00000775__s00005494.tpn_0.json,249,353,602,69,0,1,36146880
b3.s00000779__s00000780.tpn_0.json,51,56,107,13,0,1,3020792
b3.s00000785__s00005576.tpn_0.json,108,141,249,29,0,1,6437083
b3.s00000787__s00005604.tpn_0.json,33,36,69,8,0,1,2094488
b3.s00000789__s00005676.tpn_0.json,26,28,54,6,0,1,1249550
b3.s00000791__s00005678.tpn_0.json,172,256,428,48,0,1,23824785
b3.s00000797__s00005997.tpn_0.json,33,38,71,8,0,1,2045964
b3.s00000799__s00006016.tpn_0.json,83,103,186,21,0,1,6555970
b3.s00000803__s00006033.tpn_0.json,112,132,244,31,0,1,9819464
b3.s00000805__s00006051.tpn_0.json,44,59,103,11,0,1,3091813
b3.s00000807__s00006144.tpn_0.json,88,119,207,23,0,1,7504442
b3.s00000809__s00006086.tpn_0.json,35,38,73,8,0,1,2323478
b3.s00000809__s00006086.tpn_1.json,28,31,59,7,0,1,1649563
b3.s00000809__s00006086.tpn_2.json,28,30,58,6,0,1,1709828
b3.s00000811__s00006124.tpn_0.json,26,29,55,6,0,1,1517703
b3.s00000813__s00006164.tpn_0.json,56,80,136,15,0,1,4283232
b3.s00000815__s00006174.tpn_0.json,44,59,103,11,0,1,2098840
b3.s00000817__s00006282.tpn_0.json,26,29,55,6,0,1,1207266
b3.s00000819__s00006178.tpn_0.json,24,27,51,5,0,1,788861
b3.s00000821__s00006189.tpn_0.json,24,27,51,5,0,1,1412527
b3.s00000823__s00006200.tpn_0.json,139,160,299,36,0,1,12442377
b3.s00000825__s00006242.tpn_0.json,24,27,51,5,0,1,1386089
b3.s00000827__s00006253.tpn_0.json,24,27,51,5,0,1,1355711
b3.s00000829__s00006264.tpn_0.json,24,27,51,5,0,1,1579200
b3.s00000831__s00006275.tpn_0.json,26,29,55,6,0,1,1125818
b3.s00000833__s00006285.tpn_0.json,85,100,185,23,0,1,6969038
b3.s00000835__s00006328.tpn_0.json,72,83,155,19,0,1,5450432
b3.s00000839__s00006358.tpn_0.json,38,46,84,10,0,1,2503697
b3.s00000845__s00006491.tpn_0.json,60,68,128,17,0,1,4479955
b3.s00000849__s00006439.tpn_0.json,37,40,77,9,0,1,1719352
b3.s00000861__s00006505.tpn_0.json,47,52,99,12,0,1,4419362
b3.s00000865__s00006515.tpn_0.json,30,32,62,6,0,1,2528329
b3.s00000865__s00006515.tpn_1.json,83,95,178,21,0,1,6080913
b3.s00000867__s00006514.tpn_0.json,52,57,109,13,0,1,3541500
b3.s00000871__s00006546.tpn_0.json,41,45,86,10,0,1,2605754
b3.s00000873__s00006556.tpn_0.json,59,67,126,15,0,1,3971810
b3.s00000875__s00006563.tpn_0.json,62,70,132,16,0,1,3998904
b3.s00000877__s00006580.tpn_0.json,109,134,243,29,0,1,8954492
b3.s00000883__s00006615.tpn_0.json,28,31,59,7,0,1,4379377
b3.s00000889__s00006646.tpn_0.json,26,28,54,6,0,1,1586343
b3.s00000889__s00006646.tpn_1.json,32,35,67,8,0,1,6396030
b3.s00000893__s00006668.tpn_0.json,63,77,140,16,0,1,5457739
b3.s00000895__s00006681.tpn_0.json,97,115,212,26,0,1,7924161
b3.s00000897__s00006690.tpn_0.json,73,80,153,19,0,1,5386883
b3.s00000901__s00006709.tpn_0.json,51,61,112,13,0,1,3380328
b3.s00000903__s00006712.tpn_0.json,45,54,99,11,0,1,2960527
b3.s00000905__s00006739.tpn_0.json,80,97,177,21,0,1,6713365
b3.s00000907__s00006745.tpn_0.json,47,52,99,12,0,1,3340507
b3.s00000909__s00006762.tpn_0.json,68,86,154,19,0,1,5115199
c.s00000030__s00000596.tpn_0.json,268,345,613,73,0,1,37289037
c.s00000030__s00000703.tpn_0.json,277,327,604,76,0,1,29185148
c.s00000030__s00000812__s00000821.tpn_0.json,26,28,54,6,0,1,1415565
c.s00000030__s00000838.tpn_0.json,74,87,161,19,0,1,6440613
c.s00000030__s00000861.tpn_0.json,28,31,59,7,0,1,1065061
c.s00000030__s00000869.tpn_0.json,126,155,281,33,0,1,8136484
c.s00000030__s00000886.tpn_0.json,126,155,281,33,0,1,12089082
c.s00000030__s00000887.tpn_0.json,126,155,281,33,0,1,11559014
c.s00000030__s00000888.tpn_0.json,74,87,161,19,0,1,5893468
c.s00000030__s00000889.tpn_0.json,64,77,141,15,0,1,4560992
c.s00000030__s00000890.tpn_0.json,64,77,141,15,0,1,4783824
c.s00000032__s00000348.tpn_0.json,315,397,712,90,0,1,47022784
c.s00000038__s00001082.tpn_0.json,39,42,81,9,0,1,2285710
c.s00000038__s00001082.tpn_1.json,59,64,123,15,0,1,3201094
c.s00000040__s00000980.tpn_0.json,57,62,119,14,0,1,3304299
c.s00000040__s00001001.tpn_0.json,28,30,58,6,0,1,1445287
c.s00000040__s00001001.tpn_1.json,28,30,58,6,0,1,1341261
c.s00000040__s00001003.tpn_0.json,51,56,107,13,0,1,2842871
c.s00000040__s00001003.tpn_1.json,28,30,58,6,0,1,1640039
c.s00000040__s00001008.tpn_0.json,49,54,103,13,0,1,3460955
c.s00000040__s00001008.tpn_1.json,28,30,58,6,0,1,1760486
c.s00000040__s00001017.tpn_0.json,49,54,103,13,0,1,3312346
c.s00000040__s00001017.tpn_1.json,28,30,58,6,0,1,1779699
c.s00000821__s00000832.tpn_0.json,26,29,55,6,0,1,1521726
